id_mbes;X;Y;Z;id_moules;Nbrs_moules;Classe;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;GMM_Classe;New_Classe
31267609;164026.000;5145778.000;12.106;272;1;Inexistant;1.735305;3.895056e-02;0.668275;0.999594;0.623702;0.375892;2.498782e-04;4.059307e-04;7.218702e-04;1.861000e-09;-1.000000e-12;9.613792;6.000048;0.128000;-0.027000;0.101000;0;Rare
31268117;164022.000;5145779.000;12.125;272;1;Inexistant;1.733789;3.231414e-02;0.667612;0.999768;0.624901;0.374868;1.425960e-04;2.317704e-04;1.448221e-04;1.160000e-10;0.000000e+00;9.600372;6.001504;0.068001;-0.057000;0.011001;0;Rare
31268118;164023.000;5145779.000;12.130;272;1;Inexistant;1.733980;4.191621e-02;0.668906;0.999494;0.624550;0.374944;3.113395e-04;5.061019e-04;7.234676e-05;1.863000e-09;0.000000e+00;9.600261;6.000705;0.091001;-0.051001;0.040000;0;Rare
31268119;164024.000;5145779.000;12.121;272;1;Inexistant;1.735092;5.293006e-02;0.671207;0.998980;0.624512;0.374467;6.271821e-04;1.020145e-03;4.857600e-04;-1.160000e-10;0.000000e+00;9.600569;6.005468;0.153001;-0.064000;0.089001;0;Rare
31268120;164025.000;5145779.000;12.114;272;1;Inexistant;1.737179;4.612655e-02;0.670161;0.999325;0.627241;0.372084;4.145486e-04;6.751303e-04;2.335713e-03;1.160000e-10;-0.000000e+00;9.600080;6.028047;0.201000;-0.072000;0.129001;0;Rare
31268121;164026.000;5145779.000;12.097;272;1;Inexistant;1.738359;2.942558e-02;0.668095;0.999825;0.629359;0.370466;1.074920e-04;1.751806e-04;3.609813e-03;1.160000e-10;-0.000000e+00;9.600014;6.043532;0.201000;-0.089000;0.112000;0;Rare
31268630;164023.000;5145780.000;12.190;272;1;Inexistant;1.734906;4.887818e-02;0.670296;0.999197;0.624723;0.374474;4.937608e-04;8.030176e-04;5.105399e-04;1.863000e-09;1.000000e-12;9.600857;6.005588;0.127000;-0.046000;0.080999;0;Rare
31268631;164024.000;5145780.000;12.095;272;1;Inexistant;1.736140;5.607787e-02;0.672112;0.998786;0.624991;0.373796;7.458589e-04;1.213824e-03;1.095081e-03;1.863000e-09;-3.000000e-12;9.601257;6.012350;0.178000;-0.116000;0.062000;0;Rare
31268632;164025.000;5145780.000;12.133;272;1;Inexistant;1.735452;4.851311e-02;0.670050;0.999215;0.623782;0.375433;4.829401e-04;7.849475e-04;6.586403e-04;-1.862000e-09;3.000000e-12;9.609652;6.001870;0.129001;-0.113001;0.016000;0;Rare
32264672;166328.000;5145722.000;10.108;485;1;Inexistant;1.735782;3.873687e-02;0.668733;0.999600;0.626471;0.373130;2.455359e-04;3.995531e-04;1.509691e-03;-1.863000e-09;1.000000e-12;9.600151;6.018051;0.174000;-0.106000;0.068000;0;Rare
32264673;166329.000;5145722.000;10.070;485;1;Inexistant;1.734828;5.372147e-02;0.671268;0.998933;0.623725;0.375208;6.559544e-04;1.066489e-03;1.675759e-04;-1.160000e-10;0.000000e+00;9.603209;6.000004;0.113000;-0.001000;0.112000;0;Rare
32264674;166330.000;5145722.000;9.995;485;1;Inexistant;1.734025;4.135946e-02;0.668809;0.999514;0.624532;0.374982;2.990944e-04;4.861793e-04;1.029388e-04;-1.160000e-10;0.000000e+00;9.600848;6.000705;0.076000;0.000000;0.076000;0;Rare
32265150;166327.000;5145723.000;10.110;485;1;Inexistant;1.735935;5.423730e-02;0.671630;0.998902;0.625033;0.373869;6.747243e-04;1.097931e-03;1.034168e-03;1.863000e-09;2.000000e-12;9.601238;6.011632;0.177000;-0.080000;0.097000;0;Rare
32265151;166328.000;5145723.000;10.132;485;1;Inexistant;1.735346;4.524349e-02;0.669431;0.999363;0.624081;0.375283;3.916343e-04;6.365444e-04;7.168725e-04;-1.160000e-10;-0.000000e+00;9.609054;6.002944;0.139999;0.000000;0.139999;0;Rare
32265152;166329.000;5145723.000;10.129;485;1;Inexistant;1.734869;5.695427e-02;0.672126;0.998729;0.623694;0.375035;7.817908e-04;1.271377e-03;9.735568e-05;-1.863000e-09;-0.000000e+00;9.601199;6.000417;0.120999;-0.009999;0.111000;0;Rare
32265153;166330.000;5145723.000;10.111;485;1;Inexistant;1.736571;4.257478e-02;0.668824;0.999470;0.623442;0.376028;3.263869e-04;5.302161e-04;1.349341e-03;1.160000e-10;0.000000e+00;9.620880;6.003159;0.143000;-0.028000;0.115000;0;Rare
32265154;166331.000;5145723.000;10.092;485;1;Inexistant;1.736163;4.683421e-02;0.670010;0.999294;0.625565;0.373728;4.342004e-04;7.064346e-04;1.431410e-03;-1.862000e-09;-5.000000e-12;9.603980;6.014702;0.179000;-0.086000;0.092999;0;Rare
32546830;163416.422;5146122.500;5.308;465;2;Inexistant;1.747741;6.552627e-02;0.674314;0.998062;0.620883;0.377180;1.192507e-03;1.937535e-03;6.673378e-03;1.160000e-10;2.000000e-12;9.681237;6.029671;0.398001;-0.182000;0.216001;2;Rare
32546879;163415.438;5146123.000;5.180;465;2;Inexistant;1.747027;4.429546e-02;0.671402;0.999401;0.636580;0.362821;3.658697e-04;5.992135e-04;9.648070e-03;-1.863000e-09;-4.000000e-12;9.600345;6.117142;0.326000;-0.179000;0.147000;0;Rare
32546880;163417.344;5146123.500;5.133;465;2;Inexistant;1.744477;5.697710e-02;0.673717;0.998724;0.632892;0.365832;7.801319e-04;1.275862e-03;7.271249e-03;1.863000e-09;-1.000000e-12;9.600017;6.088026;0.301000;-0.100000;0.201000;0;Rare
32546881;163418.109;5146123.000;5.183;465;2;Inexistant;1.738320;6.281777e-02;0.674261;0.998292;0.625781;0.372511;1.048549e-03;1.708294e-03;2.283802e-03;1.862000e-09;6.000000e-12;9.602813;6.025661;0.204000;-0.082000;0.122000;0;Rare
32546926;163415.484;5146124.500;4.919;465;2;Inexistant;1.896306;7.913336e-02;0.694522;0.996460;0.729584;0.266875;2.038605e-03;3.540374e-03;9.851683e-02;1.130000e-10;2.300000e-11;9.827313;7.204645;1.100000;-0.623000;0.477000;2;Rare
32546927;163418.062;5146124.000;4.631;465;2;Inexistant;1.879302;1.117073e-01;0.708479;0.990067;0.682963;0.307103;5.833366e-03;9.933230e-03;8.321236e-02;-1.130000e-10;-2.300000e-11;9.932712;6.882342;1.140000;-0.641000;0.499000;2;Rare
32546928;163419.484;5146124.500;5.294;465;2;Inexistant;1.860579;1.210435e-01;0.710657;0.987441;0.643432;0.344009;7.526705e-03;1.255868e-02;6.744821e-02;-1.130000e-10;-2.000000e-11;10.035789;6.583385;1.210000;-0.837000;0.373000;2;Rare
32546981;163414.641;5146124.500;4.939;465;2;Inexistant;1.736192;3.941334e-02;0.668853;0.999579;0.626564;0.373015;2.586214e-04;4.208820e-04;1.753729e-03;-1.160000e-10;-0.000000e+00;9.601617;6.020072;0.145000;-0.089000;0.056000;0;Rare
32546982;163416.375;5146125.500;4.726;465;2;Inexistant;1.736128;3.905848e-02;0.668802;0.999590;0.626587;0.373003;2.516940e-04;4.096084e-04;1.725877e-03;1.160000e-10;0.000000e+00;9.601263;6.019958;0.163000;-0.108000;0.055000;0;Rare
32546983;163416.891;5146124.500;4.767;465;2;Inexistant;1.735746;3.169005e-02;0.667883;0.999781;0.626824;0.372957;1.343959e-04;2.186973e-04;1.631302e-03;1.160000e-10;0.000000e+00;9.600003;6.019615;0.150000;-0.101999;0.048000;0;Rare
32546984;163417.625;5146125.000;4.549;465;2;Inexistant;1.735150;2.673095e-02;0.667336;0.999869;0.626392;0.373477;8.066717e-05;1.312176e-04;1.246468e-03;-1.160000e-10;-0.000000e+00;9.600287;6.014802;0.131000;-0.061000;0.070000;0;Rare
