,id,X,Y,Z,id_moules,Nbrs_Moules,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,GMM_Class
24,24,134752.56,5118750.027,-0.08,510,2,432.40485,0.0011071165,0.025886904,0.99999964,0.003979871,0.9960198,3.43656e-07,3.45024e-07,3.6020032e-05,-1.032e-09,-1.551e-09,3876.214,15.42817,0.049999997,0.0,0.049999997,4
25,25,134761.53,5118755.894,-0.07,510,2,536.1574,0.0011587729,0.027453097,0.99999964,0.00426736,0.99573225,3.67703e-07,3.69273e-07,3.64961e-07,1.057e-09,1.534e-09,4804.9087,20.50605,0.08,-0.030000001,0.049999997,4
26,26,134773.42,5118766.245,-0.07,510,2,673.7394,0.0010333318,0.026605494,0.9999997,0.0041116164,0.9958881,2.70547e-07,2.7166e-07,5.65173e-07,-2.296e-09,-2.936e-09,6038.822,24.830957,0.08,-0.04,0.04,4
27,27,134785.23,5118777.591,-0.11,510,2,773.12445,0.0006662558,0.0073020034,0.9999997,0.00091270334,0.999087,3.24513e-07,3.24809e-07,1.539292e-05,8.9e-11,-7.5e-11,6951.7705,6.3471622,0.08,-0.04,0.04,4
28,28,134789.61,5118781.48,-0.11,510,2,773.55347,0.0011348353,0.05191358,0.9999998,0.009202336,0.9907975,1.61752e-07,1.6324e-07,1.3465439e-05,1.116e-09,1.491e-09,6898.497,63.483414,0.05,0.0,0.05,4
29,29,134793.95,5118785.359,-0.1,510,2,773.55347,0.0011348353,0.05191358,0.9999998,0.009202336,0.9907975,1.61752e-07,1.6324e-07,1.3465439e-05,1.116e-09,1.491e-09,6898.497,63.483414,0.05,0.0,0.05,4
30,30,134796.72,5118787.507,-0.08,510,2,709.72943,0.0016507963,0.101782426,0.99999976,0.021415764,0.978584,2.19153e-07,2.23847e-07,6.717731e-06,0.0,0.0,6253.6357,133.9278,0.05,-0.009999998,0.040000003,4
31,31,134800.58,5118790.294,-0.1,510,2,600.91943,0.0018039454,0.10174647,0.9999997,0.021405663,0.97859406,2.8611e-07,2.92234e-07,3.206558e-06,-7.75e-10,-1.695e-09,5294.9307,113.34305,0.05,-0.030000001,0.02,4
32,32,134813.84,5118797.931,-0.08,510,2,600.91943,0.0018039454,0.10174647,0.9999997,0.021405663,0.97859406,2.8611e-07,2.92234e-07,3.206558e-06,-7.75e-10,-1.695e-09,5294.9307,113.34305,0.05,-0.009999998,0.040000003,4
33,33,134824.66,5118797.963,-0.06,510,2,594.6918,0.0011610065,0.05676296,0.9999998,0.01026968,0.9897302,1.5553e-07,1.57128e-07,3.71646e-07,1.426e-09,3.442e-09,5297.818,54.407722,0.05,-0.030000001,0.02,4
34,34,134835.3,5118799.673,-0.06,510,2,655.4139,0.0016319094,0.049035333,0.99999946,0.008580526,0.99141896,5.15193e-07,5.19614e-07,7.090474e-06,-7.14e-10,-1.72e-09,5848.535,50.18655,0.06,-0.06,0.0,4
35,35,134837.48,5118800.721,-0.07,510,2,706.7482,0.0023249658,0.10768137,0.9999994,0.02303322,0.9769662,5.71037e-07,5.84191e-07,3.4679e-08,-9.61e-10,-1.6e-09,6217.5176,143.21307,0.07,-0.06,0.009999998,4
36,36,134847.62,5118807.445,-0.07,510,2,706.7482,0.0023249658,0.10768137,0.9999994,0.02303322,0.9769662,5.71037e-07,5.84191e-07,3.4679e-08,-9.61e-10,-1.6e-09,6217.5176,143.21307,0.07,-0.049999997,0.02,4
