,id,X,Y,Z,id_moules,Nbrs_Moules,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,GMM_Class
1188,73354931,198996.0,5171973.0,3.01,86,1,1.7334919,0.016133009,0.6664989,0.99997115,0.625086,0.37488517,1.7740658e-05,2.883112e-05,9.491511e-05,-1.16e-10,-0.0,9.600029,6.0011206,0.038999915,-0.029999971,0.008999944,0
1189,73354932,198997.0,5171973.0,3.016,86,1,1.7334625,0.02164015,0.66673183,0.99993044,0.6249775,0.37495288,4.281906e-05,6.958597e-05,4.034056e-05,1.16e-10,0.0,9.600025,6.0004683,0.031999946,-0.021999955,0.00999999,0
1192,73354933,198998.0,5171973.0,3.037,86,1,1.7334726,0.018883154,0.66659564,0.99995375,0.62500954,0.3749442,2.844894e-05,4.6232428e-05,6.215943e-05,-1.863e-09,-0.0,9.600168,6.000641,0.047999978,-0.021999955,0.026000023,0
1190,73355204,198996.0,5171974.0,2.982,86,1,1.733478,0.022084283,0.66675806,0.99992603,0.6249792,0.37494686,4.5510085e-05,7.395967e-05,4.775859e-05,1.16e-10,0.0,9.60005,6.0005417,0.03700006,-0.0070000887,0.029999971,0
1191,73355205,198997.0,5171974.0,3.01,86,1,1.7334789,0.021814676,0.6667336,0.9999287,0.62493086,0.37499785,4.3864256e-05,7.128264e-05,4.053131e-05,1.16e-10,0.0,9.600372,6.0002537,0.030999899,-0.0039999485,0.02699995,0
1193,73355206,198998.0,5171974.0,3.012,86,1,1.7335178,0.022568904,0.6667675,0.9999211,0.6248671,0.37505397,4.857457e-05,7.8934885e-05,4.7873356e-05,-1.16e-10,0.0,9.600874,6.000028,0.049000025,-0.02699995,0.022000074,0
1194,73355207,198999.0,5171974.0,3.031,86,1,1.7334763,0.019376203,0.66660935,0.99995005,0.62495726,0.37499282,3.0736777e-05,4.994902e-05,5.302474e-05,-1.16e-10,0.0,9.600453,6.000353,0.035000086,-0.009000063,0.026000023,0
1195,73355481,198996.0,5171975.0,2.97,86,1,1.7335725,0.01524733,0.6664788,0.9999757,0.6251385,0.37483713,1.4975973e-05,2.433876e-05,0.00015303736,1.863e-09,-0.0,9.600219,6.0017,0.049000025,-0.023000002,0.026000023,0
1196,73355482,198997.0,5171975.0,2.973,86,1,1.7335258,0.018874628,0.66659033,0.9999538,0.6249819,0.37497196,2.8410712e-05,4.6169513e-05,8.7794826e-05,-1.863e-09,0.0,9.600627,6.0006614,0.037999988,-0.026000023,0.011999965,0
1197,73355483,198998.0,5171975.0,2.982,86,1,1.7335577,0.020472145,0.66666126,0.9999411,0.6249413,0.37499976,3.6253357e-05,5.8913847e-05,9.324446e-05,-1.863e-09,0.0,9.600893,6.0005608,0.046000004,-0.029000044,0.01699996,0
183,75804904,199074.0,5172083.0,1.998,217,28,1.733394,0.014484992,0.66643023,0.99997914,0.62499523,0.37498388,1.284074e-05,2.0866677e-05,2.5139421e-05,-1.16e-10,-0.0,9.600118,6.000228,0.020999908,-0.020999908,0.0,0
184,75804905,199075.0,5172083.0,2.008,217,28,1.7333978,0.0185511,0.6665723,0.9999562,0.624962,0.37499416,2.6974796e-05,4.3835385e-05,1.133807e-05,1.863e-09,0.0,9.600064,6.000096,0.026000023,-0.014000058,0.011999965,0
185,75804906,199076.0,5172083.0,2.018,217,28,1.7333974,0.017938437,0.6665434,0.99996036,0.62494785,0.3750125,2.4389543e-05,3.963367e-05,1.0250715e-05,1.16e-10,0.0,9.600194,6.0000014,0.026000023,-0.01699996,0.009000063,0
186,75804907,199077.0,5172083.0,2.031,217,28,1.7333716,0.015771514,0.66646546,0.99997306,0.62496775,0.3750053,1.6575326e-05,2.6935266e-05,4.501135e-06,-1.16e-10,-0.0,9.600084,6.0000014,0.023000002,-0.008999944,0.014000058,0
187,75805277,199074.0,5172084.0,1.976,217,28,1.7334911,0.013361017,0.6664211,0.9999836,0.6251149,0.3748687,1.0077039e-05,1.6376676e-05,0.00010518368,1.863e-09,-0.0,9.600001,6.0012617,0.03699994,-0.013000011,0.02399993,0
