,id,X,Y,Z,id_moules,Nbrs_Moules,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,GMM_Class
0,94403,137573.8,5126205.801,7.83,633,3,9.917444,0.0643808,0.67991763,0.9981445,0.65773547,0.34040907,0.0011167788,0.0018554683,0.0028257624,-7.93e-10,-1.688e-09,53.722466,35.43485,0.5970001,-0.57299995,0.024000168,1
1,709868,138045.6,5126526.284,9.7,431,7,13.567337,0.043677278,0.68201435,0.99941176,0.7134721,0.28593963,0.0003430694,0.0005882435,0.0011538134,-2.208e-09,-2.996e-09,71.21344,50.850697,0.42700005,-0.20199966,0.22500038,1
2,2279028,136676.0,5127230.0,13.64,339,0,1.7340004,0.03428124,0.66786957,0.99972326,0.6250428,0.37468043,0.0001702523,0.0002767615,0.0002735687,1.863e-09,-0.0,9.600172,6.0031753,0.09300041,-0.07400036,0.019000053,0
3,2279029,136677.0,5127230.0,13.62,339,0,1.7334704,0.015881842,0.6664827,0.9999725,0.62504363,0.37492886,1.6925153e-05,2.7505042e-05,7.5332e-05,1.863e-09,0.0,9.600177,6.0007935,0.032999992,-0.023000717,0.009999275,0
4,2279540,136676.0,5127231.0,13.66,339,0,1.7339066,0.035369907,0.66792065,0.999696,0.62455153,0.3751445,0.00018703121,0.00030395552,0.00011701216,1.862e-09,0.0,9.602233,6.000008,0.08300018,-0.059999466,0.023000717,0
5,2279541,136677.0,5127231.0,13.64,339,0,1.7341276,0.02999453,0.6674311,0.9998146,0.6252614,0.37455323,0.00011401984,0.0001853543,0.00042652214,-1.16e-10,-0.0,9.600664,6.0047045,0.08599949,-0.07499981,0.01099968,0
6,2495977,137216.0,5127215.0,12.19,242,10,1.736094,0.044138785,0.6693598,0.9994089,0.62486523,0.37454364,0.00036352183,0.00059110374,0.0013122205,1.862e-09,-6e-12,9.609096,6.0100703,0.1600008,-0.06300068,0.09700012,0
7,2496489,137216.0,5127216.0,11.98,242,10,1.7350584,0.040946074,0.6686395,0.99952835,0.6239674,0.37556094,0.00029027235,0.0004716667,0.0006008704,-1.16e-10,0.0,9.610083,6.0009108,0.13599968,-0.0880003,0.047999382,0
8,3929673,141562.0,5128210.0,10.62,322,0,1.7407298,0.050327413,0.6712785,0.99912244,0.62848777,0.37063468,0.0005382891,0.00087754196,0.0045128805,1.862e-09,1.4e-11,9.60996,6.0481753,0.25199986,-0.13000011,0.12199974,0
9,3929674,141563.0,5128210.0,10.586,322,0,1.7385752,0.04858574,0.6706292,0.9992109,0.6269887,0.3722222,0.00048454225,0.0007891095,0.0030432958,1.862e-09,1e-11,9.607943,6.031653,0.22099972,-0.15199947,0.069000244,0
10,3930005,141562.0,5128211.0,10.89,322,0,1.7419596,0.039999656,0.66829145,0.9995604,0.62287533,0.37668514,0.00027070855,0.0004395642,0.00437397,1.16e-10,1e-12,9.655177,6.018215,0.29300022,-0.14100075,0.15199947,0
11,3930006,141563.0,5128211.0,10.72,322,0,1.7423711,0.05888581,0.6726726,0.99859446,0.62365365,0.3749408,0.0008641718,0.0014055449,0.0043454333,1.859e-09,2.2e-11,9.641365,6.0264235,0.2880001,-0.15200043,0.13599968,0
12,4426837,141340.0,5128550.0,13.586,174,0,1.7364293,0.05545836,0.67200536,0.99882597,0.62533957,0.37348637,0.00072129467,0.0011740424,0.0013430172,-1.863e-09,-3e-12,9.601267,6.015325,0.18299961,-0.10999966,0.072999954,0
