,id,X,Y,Z,id_moules,Nbrs_Moules,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,GMM_Class
256,72032,136954.25,5126107.528,5.99,194,2,12.098062,0.029059933,0.6718524,0.99983025,0.6523583,0.34747192,0.00010272392,0.0001697716,2.6975264e-05,-8.9e-11,-3.725e-09,65.88171,42.989662,0.1170001,-0.04699993,0.07000017,1
257,72108,136951.95,5126110.4180000005,6.008,194,2,15.140939,0.04846398,0.652783,0.99922866,0.5429672,0.4562615,0.00049939996,0.00077132817,0.000194963,1.042e-09,1.545e-09,88.22764,47.972763,0.33999968,-0.22900009,0.110999584,1
258,72148,136955.17,5126110.696,5.984,194,2,10.419785,0.05051709,0.66887045,0.9991154,0.61476195,0.3843535,0.000547207,0.0008845771,0.0015333444,1.064e-09,1.531e-09,58.011913,35.714832,0.467,-0.26500034,0.20199966,1
259,72225,136952.45,5126112.801,6.05,194,2,13.795595,0.034277715,0.6797308,0.9997166,0.7057872,0.29392943,0.00016608318,0.0002833967,0.00020551738,2.3e-11,5.4e-11,72.76354,51.376198,0.24600029,-0.14300013,0.103000164,1
2659,94242,137574.92,5126203.756,7.81,633,3,11.175523,0.06576228,0.69046056,0.9979662,0.74076515,0.25720102,0.0011656467,0.0020338586,0.0025770841,-1.86e-09,9.9e-11,57.64432,42.818142,0.58200026,-0.5800004,0.001999855,1
2660,94334,137571.77,5126205.077,7.812,633,3,10.379667,0.04556319,0.6623076,0.9993551,0.5868577,0.4124974,0.0004060825,0.0006449189,2.7862307e-05,1.86e-09,-1.19e-10,58.821365,34.557705,0.24499989,-0.13000011,0.11499977,1
2661,94403,137573.8,5126205.801,7.83,633,3,9.917444,0.0643808,0.67991763,0.9981445,0.65773547,0.34040907,0.0011167788,0.0018554683,0.0028257624,-7.93e-10,-1.688e-09,53.722466,35.43485,0.5970001,-0.57299995,0.024000168,1
2662,94500,137575.83,5126206.525,7.824,633,3,10.506082,0.056785066,0.67958486,0.9987232,0.67129177,0.3274315,0.000762775,0.0012767673,0.0011873163,1.864e-09,-4.3e-11,56.489532,37.99308,0.43999958,-0.31799984,0.12199974,1
2663,94573,137573.06,5126207.83,7.785,633,3,9.716625,0.06944466,0.6384357,0.99772674,0.47125727,0.52646947,0.0015403723,0.0022732874,0.0011350075,1.641e-09,8.77e-10,59.25559,28.059332,0.5779996,-0.32700014,0.25099945,4
0,139698,138580.22,5126398.869,5.1,135,1,9.421176,0.021450002,0.6453202,0.9999333,0.5287337,0.47119966,4.3624426e-05,6.6695946e-05,0.000282405,6.47e-10,1.751e-09,55.459747,29.327133,0.18700027,-0.116000175,0.0710001,1
1758,709739,138046.31,5126524.254,9.89,431,7,16.893618,0.02785054,0.55755115,0.9998452,0.32382795,0.6760172,0.00011690825,0.0001548026,5.9949674e-05,-4.9e-11,3.1e-11,114.82384,37.200943,0.17700005,-0.09000015,0.08699989,4
1759,709810,138043.92,5126524.745,9.83,431,7,15.900874,0.031384658,0.6087249,0.9997892,0.42006058,0.5797286,0.00014842051,0.0002108287,0.0008657586,1.059e-09,3.57e-09,100.74597,42.340652,0.3180008,-0.24600029,0.0720005,4
